name,artist,description,ranking
"Re","Cafe Tacuba","Grabado en 1994",5
"Los de Atras Vienen Conmigo","Calle 13","Grabado en 2008",3
"Un Dia Normal","Juanes","Grabade en 2002",2
"¿Dónde Jugarán los Niños?","Maná","Grabado en 1998",1
"Clandestino","Manu Chao","Grabado en 1998",0
"Todo a Su Tiempo","Marc Anthony","Grabado en 1995",0
"Historia","Ricardo Arjona","Grabado en 1994",0
"Piez Descalzos","Shakira","Grabado en 1995",0
"Entre Raíces y Antenas","Macaco","Grabado en 2004",0
"Pafuera Telarañas","Bebe","Grabado en 2004",0
"Hu Hu Hu","Natalia Lafourcade","Grabado en 2009",0
"Los Abandoned","Mix Tape","Grabado en 2006",0
"Habitaciones Extrañas","Enanitos Verdes","Grabado en 1987",0
"La Cagaste...Burt Lancaster","Hombres G","Grabado en 1986",0
"Residente o Visitante","Calle 13","Grabado en 2007",0
